file,status,original_lines,kept_lines,dropped_placeholders,dropped_empty_tails,empty_lines_removed,whitespace_collapsed,numbers_rounded,dates_normalized,duplicates_removed,bad_date_segments
0c5cb672-0508-4969-874f-e11a1cf99f7c.txt,ok,61,32,1,0,14,32,15,42,14,37
0c5d2486-54e1-45c3-8c44-ed926574f542.txt,ok,69,41,1,0,14,37,21,53,13,41
0c9dcd55-ddaa-4607-af32-3061d2d00cbb.txt,ok,67,35,1,0,14,36,18,47,17,41
0ca1c96d-f0ef-41bb-9c01-d0fad6997367.txt,ok,51,29,1,0,14,23,9,34,7,26
0ca52534-ea1f-488d-8bf5-5b56c88791c6.txt,ok,154,94,1,0,14,113,35,134,45,128
0ca9802d-959a-4e14-88ae-8104ae94953f.txt,ok,24,4,0,0,14,0,0,1,6,1
0cb1e1d4-226d-4f1a-924f-fe5600141d2c.txt,ok,55,37,1,0,14,15,6,48,3,23
0cb6a2b5-c9d7-47c9-9f82-756ea261a3b6.txt,ok,49,19,0,0,14,22,0,21,16,25
0cc0d44b-2656-4e7b-9d04-45911b181d99.txt,ok,84,54,1,0,14,54,15,67,15,61
0cd143b7-14ae-4d99-b4c0-8f484ec03788.txt,ok,97,47,1,0,14,57,15,63,35,63
0cfad930-2133-4d00-b438-f2bf1d5e3d07.txt,ok,104,65,1,0,14,71,20,83,24,81
0cfb69e4-0753-4656-849a-de0cda4696d5.txt,ok,77,48,1,0,14,44,21,55,14,50
0d0711d2-6588-4da3-bd6b-58d758bf1a3f.txt,ok,72,38,1,0,14,40,21,53,19,46
0d0809a5-cb89-40cf-9286-f5991e1f0555.txt,ok,81,53,1,0,14,53,15,63,13,60
0d129414-33ed-4661-88f6-788b51128cc6.txt,ok,24,4,0,0,14,0,0,1,6,1
0d311e26-9257-41d0-86a6-9e0c71666da2.txt,ok,24,4,0,0,14,0,0,1,6,1
0d426fc3-d319-4aa7-95c2-6aa8dbb8f627.txt,ok,28,11,1,0,14,5,1,4,2,7
0d56c59e-da66-444b-ab5a-fdb1bcb16769.txt,ok,146,85,1,0,14,107,35,130,46,120
0d57bc98-de41-4e7c-8409-8be6874bc13c.txt,ok,54,34,1,0,14,20,10,38,5,23
0d6aed0c-04b0-4542-b7c0-a454e3f8425c.txt,ok,24,7,1,0,14,1,0,4,2,3
0d7c57e8-bc4d-44a0-9ae0-799ef9bd6d2a.txt,ok,72,45,1,0,14,37,21,51,12,42
0d8235e0-cbf7-4939-bb08-a541c80df7d4.txt,ok,146,85,1,0,14,101,30,129,46,116
0da426d5-fc8f-434c-94be-8d13297831e8.txt,ok,74,52,1,0,14,41,10,58,7,49
0db0248f-93b6-4105-9bfc-bd764bafe8fd.txt,ok,179,106,1,0,14,137,35,158,58,155
0df042d9-cb3b-4af9-a19a-e7263afe6f66.txt,ok,24,4,0,0,14,0,0,1,6,1
0e0b0106-724b-4aec-b408-4090fe0fce9a.txt,ok,44,23,1,0,14,20,12,21,6,21
0e29b298-d108-40f7-929d-2b50c6aa02a0.txt,ok,166,95,1,0,14,122,40,152,56,137
0e2aeda4-b180-46a5-844b-a06928d33d8d.txt,ok,44,24,1,0,14,16,9,27,5,19
0e86e8eb-fe5e-4b54-b611-8be0770a6c68.txt,ok,104,52,0,0,14,61,27,74,38,70
0ecf4fe7-b0b9-4813-acc9-b796ceb92710.txt,ok,90,56,1,0,14,61,20,71,19,68
0ed0f62e-32c4-4ccb-88b3-e01c4494e60e.txt,ok,24,4,0,0,14,0,0,1,6,1
0ef52244-73f3-47af-9878-e2124bdd15bd.txt,ok,56,34,1,0,14,27,12,40,7,31
0ef6b439-3957-4815-8d6d-75426e321f2f.txt,ok,67,43,1,0,14,36,21,43,9,40
0ef8ffdd-1811-46ea-9d5a-b4ee79fdb5cd.txt,ok,24,4,0,0,14,0,0,1,6,1
0f0988f0-beee-466e-af66-8126db888bfb.txt,ok,160,99,1,0,14,114,36,144,46,130
0f0f33cb-45bd-4bad-b31d-98eb9fc54a71.txt,ok,48,31,1,0,14,21,6,29,2,23
0f13fb5a-5cfc-4b8f-8b64-520d1364f498.txt,ok,85,55,1,0,14,56,15,65,15,62
0f27aac8-950b-4412-82bd-7cafc11025b5.txt,ok,25,8,1,0,14,2,0,4,2,4
0f4af14c-3aad-4b3b-93e9-022a34d9afd2.txt,ok,43,22,1,0,14,17,9,23,6,20
0f53087c-bba2-46cf-8a2b-af26411885e4.txt,ok,75,44,1,0,14,40,22,57,16,47
0f5a4687-6de7-4c1f-b812-36794f923d35.txt,ok,65,40,1,0,14,31,18,45,10,36
0f620538-4aa3-451d-add5-69b092473861.txt,ok,132,80,1,0,14,88,26,115,37,105
0f822ed0-7e71-44ce-b1bc-1a6b3150e427.txt,ok,24,4,0,0,14,0,0,1,6,1
0fc0f65c-f59a-42c2-9cb3-1dda02fd10b7.txt,ok,210,135,1,0,14,162,40,186,60,182
0fdf8b02-321a-4345-a7cc-787813658e48.txt,ok,159,88,1,0,14,115,35,140,56,129
0ff6149c-ed97-4c15-ac93-ff1672616d51.txt,ok,50,30,1,0,14,22,12,29,5,25
10046c2f-c73d-48fb-af7a-1063fe2aee92.txt,ok,147,85,1,0,14,107,35,131,47,119
10223948-6b4a-44fd-8ddc-a2ea407199b4.txt,ok,25,8,1,0,14,2,0,4,2,4
102426ce-e672-491d-b648-00b9d7ad67fb.txt,ok,73,44,1,0,14,42,21,52,14,47
104f8463-ae78-45ec-8dd3-0f6760ee6b0e.txt,ok,53,32,1,0,14,28,14,34,6,32
105c59fa-2550-489b-90e6-177ecff7b479.txt,ok,41,23,1,0,14,14,6,22,3,15
106437fc-9ee8-4e18-aef0-2a67306ca8f5.txt,ok,107,73,1,0,14,53,22,95,19,64
1091aaa3-1d62-4e21-baa0-8302959d0b16.txt,ok,67,43,1,0,14,33,19,47,9,38
10946b6a-472e-4ecc-b95b-0097c425157a.txt,ok,79,49,1,0,14,44,21,59,15,50
10cf4f7a-bd8d-43d2-b52e-77c26fc5fbd7.txt,ok,70,45,1,0,14,42,14,48,10,46
10da76ce-5a6e-4a45-9642-e337a345e791.txt,ok,111,60,1,0,14,72,32,79,36,77
10e0d800-c194-4e3a-b378-1d93675418a8.txt,ok,62,31,1,0,14,31,15,46,16,36
10ecda32-7017-4272-8fe4-6296a13afb4c.txt,ok,48,28,1,0,14,19,9,28,5,22
10f5203c-8ba6-4f39-ba7c-5bab6ebcda47.txt,ok,24,6,0,0,14,1,0,3,4,2
11213417-a1eb-4728-99fc-5800c16cacef.txt,ok,75,38,1,0,14,41,18,58,22,45
112ef626-6524-4620-a119-51fdd135be5f.txt,ok,149,81,1,0,14,105,30,128,53,119
1132a505-2e36-4c3e-87b4-997f9c0e8189.txt,ok,24,4,0,0,14,0,0,1,6,1
1171fea6-6046-4288-bb7b-f635353ed1d8.txt,ok,24,4,0,0,14,0,0,1,6,1
117335bb-33ff-4897-ac27-af4b3f11135f.txt,ok,75,43,1,0,14,43,21,56,17,47
11772f6f-ef71-4179-9e5b-6e59060d55f6.txt,ok,55,33,1,0,14,30,10,37,7,35
11940456-2a13-4ae9-b549-2b716bba1516.txt,ok,48,30,1,0,14,19,6,35,3,23
11af04b8-f383-4f51-bbc1-95d2322fce32.txt,ok,63,38,1,0,14,38,13,44,10,43
11cad2bb-8a9b-4a6c-badf-76012130c4c6.txt,ok,118,79,1,0,14,84,21,96,24,95
11cde4f7-dec0-41db-ab1f-0603f384367b.txt,ok,74,50,1,0,14,43,10,58,9,49
11ecf704-546f-4978-803b-99e92b9b32e7.txt,ok,142,75,1,0,14,103,35,128,52,114
11f193aa-adc6-4b1f-8219-4f46224e16d8.txt,ok,156,93,1,0,14,112,35,139,48,126
11f38ba2-0954-40c0-9770-f803351d40c3.txt,ok,24,4,0,0,14,0,0,1,6,1
12010122-6b9f-47ea-bfdb-47aa609f5dbd.txt,ok,178,101,1,0,14,133,40,156,62,149
120503f0-871e-442b-addf-9b84aefb9c29.txt,ok,24,4,0,0,14,0,0,1,6,1
12069a0c-d015-435a-9c6e-1df3c2a0370d.txt,ok,62,44,1,0,14,13,7,62,3,20
120ce255-4bbb-468e-98b1-a9127d5eaca3.txt,ok,69,48,1,0,14,41,30,49,6,42
12153c5c-d820-405f-b9fe-166887873d0d.txt,ok,24,4,0,0,14,0,0,1,6,1
123354ac-e1a4-40d6-ad91-062bd725e980.txt,ok,63,39,1,0,14,32,21,42,9,36
1237be16-1980-49bc-a81a-4c2d7ee49b02.txt,ok,141,80,1,0,14,98,30,124,46,112
123ab607-f858-474a-af8f-34737421914f.txt,ok,34,16,1,0,14,9,6,17,3,12
123bd336-f779-4001-8fc6-1602b1204d00.txt,ok,44,24,1,0,14,19,9,25,5,23
125eb39e-3a24-41c7-aa8b-4414279d5435.txt,ok,162,90,1,0,14,124,35,129,57,136
1261c97d-b8d5-43dc-be7d-a373c02398d2.txt,ok,161,92,1,0,14,117,35,142,54,129
127442f8-8f17-4716-a9e6-bf17d5f2481d.txt,ok,69,38,0,0,14,37,21,47,17,45
12a82da8-5e7a-42d8-9f81-414da4ec2f60.txt,ok,80,50,1,0,14,42,24,59,15,47
12bc11a7-601d-44ee-b67e-525fd54f630b.txt,ok,26,8,1,0,14,3,0,4,3,5
12c831c3-9f88-4551-8ae9-c9bc2c250ea5.txt,ok,149,92,1,0,14,109,35,131,42,122
12c91afc-f81d-4d6b-ab74-aec6e0cff67e.txt,ok,146,81,1,0,14,109,35,126,50,122
12d600bc-add6-4742-828a-97696a58f41b.txt,ok,148,83,1,0,14,110,35,129,50,121
12d7ca9d-bccf-4f24-bcf2-cd070401a02a.txt,ok,45,25,1,0,14,17,12,28,5,19
12dbad7c-b115-4371-9ec1-b0d25ffcf2c6.txt,ok,63,33,1,0,14,33,15,44,15,38
12ec8008-cbab-4981-93e2-4c682a6051f5.txt,ok,154,96,1,0,14,113,35,134,43,126
135286cb-c75b-4a36-87fc-7ba5b31bf8fc.txt,ok,54,31,1,0,14,21,12,38,8,27
1354d090-515f-491e-9458-467278a88881.txt,ok,75,41,1,0,14,42,21,56,19,48
1382b1a9-69cf-4756-a5ad-40abc91a1cb4.txt,ok,24,6,1,0,14,0,0,4,3,2
13860348-d852-4e1d-a410-8c2098a4f5e9.txt,ok,56,34,1,0,14,27,9,36,7,32
13885497-13ca-4f63-bd35-b30dd74c77f9.txt,ok,152,91,1,0,14,112,35,132,46,125
139a5e6b-a360-4708-a6d4-8e673149c10c.txt,ok,74,33,1,0,14,40,21,59,26,45
